Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cuba,0,0,0,0,0,0,5,12,12,17,24,12,23,35,24,12,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11,11,0,0,0,0,0,0
,,Cyprus,130,138,102,95,59,65,38,36,35,23,11,34,42,48,42,36,43,41,46,17,58,42,6,11,23,17,2,0,11,11,11,22,6,12,6,12,7,5,10,5
,,Czech Republic,560,779,917,887,785,827,734,702,722,597,439,548,824,835,840,796,761,611,510,180,260,311,305,263,257,227,254,246,242,153,139,200,272,187,204,184,125,155,102,30
,,Denmark,220,260,292,383,519,597,576,543,536,393,263,214,275,264,229,258,383,406,458,223,100,104,112,167,219,261,168,231,224,141,47,106,83,48,85,138,119,82,170,31
,,Dominica,36,47,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dominican Republic,12,0,10,24,0,10,32,24,12,0,11,12,12,0,5,17,29,36,20,12,0,0,10,12,0,10,20,0,0,0,11,0,0,0,5,5,5,0,8,0
,,East Timor,96,141,119,118,82,81,46,46,74,98,114,120,87,36,36,36,12,12,7,15,84,33,23,22,22,33,22,22,26,50,18,0,27,0,0,0,0,0,7,9
,,Ecuador,73,54,78,66,77,111,115,123,164,159,218,365,679,597,503,523,587,550,391,159,25,18,30,6,53,39,43,39,56,63,110,161,343,93,143,151,167,130,115,9
,,Egypt,160,273,344,362,397,432,521,733,850,720,604,567,652,685,905,1126,1209,1113,1020,440,76,141,152,98,145,120,161,301,250,168,148,255,184,289,365,334,297,249,204,62
,,El Salvador,27,24,24,39,35,23,17,28,24,12,40,42,70,35,46,36,39,68,75,30,15,0,0,15,11,11,17,4,0,0,40,6,22,11,22,12,15,32,15,0
,,Equatorial Guinea,0,12,12,0,0,11,0,0,0,0,0,11,0,11,12,12,12,0,11,10,0,12,0,0,0,11,0,0,0,0,0,11,0,11,0,0,0,0,11,4
,,Eritrea,35,47,36,24,24,23,0,0,0,0,0,6,33,12,17,24,24,24,24,0,11,11,0,0,0,11,0,0,0,0,0,6,21,0,17,0,0,0,0,0
,,Estonia,12,20,34,24,41,54,56,88,94,100,72,31,57,58,138,136,137,149,95,25,0,8,10,0,29,6,44,16,22,28,0,19,21,22,42,4,53,41,11,7
,,Ethiopia,46,76,80,78,116,94,59,77,58,80,120,134,130,111,201,439,631,841,913,342,22,28,32,6,56,10,47,17,10,20,12,50,58,3,93,175,187,169,61,12
,,Falkland Islands,10,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Fiji,2013,2111,2130,1975,1861,1757,1420,1555,1557,1510,1495,1387,1315,1147,1111,1163,1342,1356,1379,545,669,659,522,487,565,425,460,475,417,442,391,379,343,211,295,359,418,384,371,59
,,Finland,224,342,345,332,365,333,352,430,594,444,313,233,245,303,279,279,286,414,502,207,92,174,105,140,149,105,124,214,150,132,85,41,65,171,111,75,154,162,166,39
,,France,1699,2256,2319,2782,3283,3943,3985,4569,5700,5374,4771,4670,4554,4502,4501,4548,4204,4081,3830,1230,943,1068,1011,1174,1531,1663,1789,1845,2772,1954,1975,1718,1506,1622,1441,1440,1276,1309,1058,234
,,French Guiana,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,French Polynesia,24,10,0,10,17,12,8,12,20,23,12,0,0,0,0,0,0,0,0,0,0,10,0,10,5,0,8,0,8,11,0,0,0,0,0,0,0,0,0,0
,,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
,,Gaza Strip and West Bank,73,114,128,107,83,117,99,111,155,126,157,155,120,140,120,117,143,87,111,52,25,66,20,11,23,45,27,75,47,42,61,23,24,92,48,21,35,15,39,4
,,Georgia,10,12,12,6,16,35,12,12,22,0,0,0,0,0,0,9,25,48,36,12,10,0,0,6,4,23,0,0,10,0,0,0,0,0,0,9,25,0,0,6
,,Germany,3059,4015,5461,7044,7134,6878,6309,6535,7190,6201,5118,4234,4146,3755,4104,4179,3822,3772,3541,1387,1607,2035,2845,2844,2706,2642,2421,2431,2846,1905,1506,1186,1182,1199,1296,1131,1146,1012,901,277
,,Ghana,155,145,154,155,163,170,151,183,142,227,302,316,445,622,956,1516,1886,1920,1761,759,11,49,22,23,43,50,67,39,34,71,74,100,181,214,344,616,542,492,309,87
,,Greece,91,143,136,133,150,127,190,213,168,165,192,234,310,314,371,334,314,298,218,85,43,35,64,49,30,67,70,57,84,69,72,102,106,86,95,82,50,106,26,7
,,Guatemala,12,12,11,17,23,18,30,30,58,23,24,0,21,38,62,106,117,166,218,66,0,0,11,5,11,6,6,18,22,11,12,0,21,14,14,46,33,82,62,0
,,Guinea,0,0,0,0,0,0,0,0,6,18,12,12,12,0,0,0,0,11,12,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,11,0,0
,,Guyana,0,0,0,0,10,12,12,12,12,0,0,0,0,9,24,18,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,6,11,0,0,0
,,Haiti,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Honduras,0,0,0,21,24,46,36,22,12,0,0,0,23,24,12,11,18,12,23,22,0,0,0,21,0,22,0,10,0,0,0,0,23,0,0,11,6,0,11,10
,,Hong Kong,36150,42278,45666,45668,39179,32263,26154,23925,24039,23540,23966,25418,27082,27255,28360,29340,30253,30628,31829,15086,12966,13322,11538,11000,8171,6763,7362,6717,6771,7028,7394,7550,7834,8091,8656,8400,7657,7480,8957,3056
,,Hungary,223,349,411,380,307,300,249,267,263,284,390,813,1179,1058,1023,857,716,499,356,119,127,157,123,92,91,108,105,87,95,104,198,393,279,206,291,173,116,91,44,17
,,Iceland,56,54,94,81,115,80,146,116,127,78,86,62,78,94,95,83,59,43,39,12,20,42,22,9,55,44,62,56,43,18,26,26,6,58,23,35,11,19,15,0
,,India,29670,36034,58547,84115,94702,92115,86446,82777,66099,46406,36427,43918,65001,91836,120917,154173,199870,248418,237513,83102,11298,16078,28331,25675,25942,26355,26350,22849,12747,10742,11719,17170,28197,35712,43493,55113,69418,81282,51369,9176
,,Indonesia,43624,44875,41635,38093,35755,33628,31100,32043,32055,31316,30038,28417,28153,27436,28430,30635,32568,35189,36622,15437,14560,13375,10411,10745,9499,9736,9428,10047,9123,9164,8402,7981,7825,8044,8750,8639,9012,9905,8830,2069
,,Iran,841,1310,1884,2521,3104,3520,4191,5654,7713,9604,9690,9849,9678,8319,7855,8357,8453,8098,7146,2504,337,458,576,745,1100,1276,1659,2402,2961,3232,3138,2877,2214,1971,1999,2273,2165,1414,1086,404
,,Iraq,22,38,65,69,130,147,171,299,441,616,624,755,1273,1812,1828,1599,1135,651,316,113,10,14,17,9,70,51,75,143,165,184,192,227,613,516,280,135,103,75,52,11
,,Ireland,398,563,714,683,663,569,554,810,802,703,655,543,377,395,428,403,445,526,448,170,206,275,234,215,207,185,266,414,322,211,163,135,125,119,92,115,145,154,100,14
,,Israel,420,597,594,702,761,775,747,710,602,426,350,244,234,272,231,197,212,184,195,102,264,273,162,294,269,223,195,182,122,102,98,64,66,80,51,53,32,76,27,18
,,Italy,526,702,859,934,1091,1385,1518,1702,1965,1994,1781,2065,2685,3004,3161,3278,3237,3018,3020,1222,214,246,319,322,443,473,534,658,753,734,689,793,873,904,845,938,837,666,716,196
,,Jamaica,65,121,110,114,61,36,22,39,47,36,23,24,30,12,43,75,88,83,64,29,41,61,14,6,13,0,10,27,11,0,11,12,6,0,31,15,16,11,16,5
,,Japan,8699,9943,11923,13244,13275,12088,10128,8914,7894,6647,5877,5653,5592,5174,5489,5734,6035,5841,5967,2695,3863,4171,5119,5120,4563,3988,3216,2686,2254,1871,1965,1969,2088,1562,1865,1810,1619,1833,1719,523
,,Jordan,2226,2244,2207,2206,2172,2209,1981,1840,2006,1768,1476,1501,1916,1874,1883,2070,2182,1971,1789,673,894,780,839,682,648,781,697,676,614,400,396,649,572,626,623,534,634,459,397,91
,,Kazakhstan,108,209,213,192,192,101,111,163,333,320,487,592,614,543,573,571,581,610,439,188,60,77,33,60,60,5,39,103,117,104,199,172,122,111,165,163,149,214,103,14
,,Kenya,2554,2962,3061,3061,2904,2876,3031,2837,2749,2363,2146,1866,1925,2257,2820,3630,4757,5405,5648,2423,922,886,709,901,888,776,871,749,769,479,490,510,557,745,1032,1218,1769,1517,1688,437
,,Kiribati,24,44,24,16,0,0,19,24,36,36,12,4,12,11,12,12,0,0,0,0,0,32,0,4,0,0,19,0,12,0,0,4,0,11,0,0,0,0,0,0
,,"Korea, Democratic People's Republic of (North)",1402,710,318,194,164,96,89,51,64,71,58,24,22,18,12,12,12,12,0,0,118,74,54,62,8,0,17,27,28,11,10,0,10,6,0,0,0,0,0,0
,,"Korea, Republic of (South)",20884,24953,28873,32651,36189,40405,42927,45779,46099,44392,41723,36836,31846,27084,24858,23974,23241,23468,23609,9888,8776,9569,10909,11075,12789,15109,15891,15083,14731,13876,12695,10304,8362,7740,7314,6850,6717,7184,6713,1806
,,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,12,0
,,Kuwait,22,142,118,144,140,182,200,216,257,330,655,1357,2159,2240,1969,1809,1613,1029,854,308,22,106,22,48,44,62,32,60,101,150,391,685,671,608,349,261,269,129,170,26
,,Kyrgyzstan,22,12,12,12,0,0,0,11,32,24,24,12,12,0,5,12,17,45,60,19,10,0,12,0,0,0,0,11,20,0,0,0,0,0,5,0,5,21,12,1
,,Laos,154,238,314,257,264,285,138,140,172,217,323,291,355,360,513,656,858,1213,1310,588,70,82,110,53,72,93,54,32,100,73,107,75,103,84,237,236,354,349,458,90
,,Latvia,362,390,387,361,336,210,173,147,169,139,154,119,96,67,106,118,102,84,50,45,134,102,99,85,108,6,53,39,49,55,70,23,0,19,34,34,18,0,38,15
,,Lebanon,1621,1774,2022,2307,2460,2348,2067,1886,2122,1951,1773,2181,2588,3028,3681,4105,4341,4062,3476,1114,661,646,654,843,816,716,747,578,694,607,609,789,1016,1060,1413,1357,1353,930,812,148
,,Lesotho,11,24,12,18,24,12,23,41,0,11,12,5,12,12,0,11,12,18,43,6,11,12,0,6,0,0,11,17,0,11,0,5,0,0,0,11,0,6,7,0
,,Liberia,0,0,0,0,0,0,0,6,12,12,12,22,0,0,12,6,12,23,29,12,0,0,0,0,0,0,0,6,0,0,0,10,0,0,12,6,0,11,5,0
,,Libya,222,269,325,317,298,282,288,236,527,1650,2638,2089,858,316,158,95,72,48,12,0,102,65,97,77,34,66,72,104,299,1050,994,397,78,4,14,11,0,0,0,0
,,Liechtenstein,0,0,6,12,0,11,18,21,52,36,12,12,12,0,0,0,0,0,0,0,0,0,6,0,0,11,6,9,16,0,0,0,0,0,0,0,0,0,0,0
,,Lithuania,115,174,163,153,70,87,95,120,162,172,121,199,290,349,342,346,349,317,395,168,55,66,55,21,10,27,35,12,66,28,25,67,98,85,114,34,133,77,71,36
,,Luxembourg,0,10,32,36,23,22,34,35,28,35,35,48,61,57,56,35,30,28,48,16,0,10,20,0,11,10,22,11,28,11,11,24,13,33,8,11,6,16,0,4
,,Macau,332,384,390,518,564,502,456,566,772,1118,1348,1415,1529,1429,1507,1957,2343,2381,2431,1006,104,96,114,170,120,118,132,230,304,422,484,443,365,385,535,745,735,581,595,142
,,Madagascar,0,0,0,0,11,18,14,38,38,34,30,24,12,3,18,12,23,12,12,6,0,0,0,0,11,6,14,14,26,10,6,0,0,3,6,0,11,0,0,0
,,Malawi,18,88,98,90,77,62,59,67,81,110,155,171,140,147,174,172,108,97,96,24,6,64,2,6,17,26,11,55,21,50,23,51,8,75,66,28,24,13,0,0
,,Malaysia,21410,23806,23936,24254,24045,26206,26270,28991,29910,30710,28123,25114,23589,23240,24353,24948,25002,23564,21424,8077,8378,7918,7352,7550,7401,8002,8174,8603,8862,8186,6151,6538,6849,7100,7289,7116,6114,5852,4564,1111
,,Maldives,299,248,241,238,178,173,200,266,245,207,172,185,272,250,236,212,283,283,288,149,59,116,73,70,46,41,68,86,65,39,40,77,104,82,56,80,91,67,96,29
,,Malta,24,22,34,44,70,65,36,18,24,24,18,34,28,24,12,0,0,0,0,6,0,22,10,32,22,29,0,6,0,0,6,22,16,0,0,0,0,0,0,6
,,Marshall Islands,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Mauritania,0,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Mauritius,679,754,942,1200,1303,1333,1344,1658,1867,1864,1625,1805,1749,1604,1584,1497,1462,1527,1602,667,247,238,366,336,403,301,432,554,499,460,413,449,417,272,336,381,394,435,306,73
,,Mexico,737,1333,1691,1624,1457,1699,1777,1740,1862,2040,2332,2590,2549,2242,2219,2480,2382,2068,1936,834,389,733,623,448,593,583,745,660,794,816,796,874,917,718,683,812,690,544,568,150
,,"Micronesia, Federated States of",0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Moldova,46,69,51,46,48,31,18,12,19,12,12,12,12,0,12,12,7,12,12,0,10,21,27,10,0,7,6,0,7,0,0,0,0,0,12,0,7,0,0,0
,,Monaco,0,0,0,11,12,0,11,0,11,0,0,10,18,24,24,12,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,10,6,0,0,0,0,0,0,0
,,Mongolia,97,158,189,273,297,278,228,385,497,641,895,1074,1440,1907,3094,4239,4717,4806,4557,2057,49,86,45,93,57,62,72,181,137,257,319,342,516,803,1186,1431,1201,1230,1365,293
,,Montenegro,0,0,0,0,0,0,0,0,0,11,18,24,24,0,1,16,24,41,36,18,0,0,0,0,0,0,0,0,0,11,6,0,0,0,1,4,0,17,0,6
,,Morocco,30,44,86,100,101,104,66,47,44,42,37,46,88,58,101,129,165,150,131,42,6,20,50,16,17,44,18,11,8,6,13,10,28,22,41,33,45,42,11,0
,,Mozambique,23,29,134,131,125,96,41,28,36,28,23,45,58,72,111,176,217,168,161,90,23,17,110,11,17,0,17,4,0,4,11,33,10,24,51,92,61,0,41,0
,,Myanmar,1002,1196,1099,964,1076,1273,1710,2457,3153,3937,4021,3920,3765,3775,4254,4588,4800,5375,5655,2329,306,392,235,316,440,445,714,1017,1185,1393,1045,1052,933,1219,1494,1348,1272,1559,1407,247
,,Namibia,24,32,38,24,12,12,11,11,0,0,0,10,23,24,34,24,46,36,24,6,0,20,2,0,0,0,11,11,0,0,0,10,11,0,22,12,22,0,0,0
,,Nauru,22,22,12,0,0,0,0,0,0,0,0,6,12,0,0,13,34,24,12,0,10,10,0,0,0,0,0,0,0,0,0,6,0,0,0,13,10,0,0,0
,,Nepal,7911,6694,5176,4877,6899,19936,28170,28700,34966,51766,56996,52953,59164,71851,93412,136084,190542,234429,245199,96530,2151,1414,1048,1613,3287,11512,10890,9008,13774,17962,11600,14601,19840,24127,31360,53656,62214,66021,54891,11276
,,Netherlands,471,531,747,1076,1352,1539,1233,1291,1370,1159,1051,1050,878,920,1001,931,870,784,818,358,255,267,399,476,584,615,477,607,518,319,367,270,242,284,281,235,222,208,206,52
,,Netherlands Antilles,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Caledonia,7,12,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nicaragua,4,23,12,0,0,0,0,7,12,0,0,0,0,11,12,0,0,0,0,0,4,11,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0
,,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
,,Nigeria,241,235,222,229,328,451,489,693,918,899,1077,1575,2801,3873,5555,7274,8103,8244,7571,3129,85,67,42,121,136,211,165,273,378,215,501,747,1445,1617,2675,2690,2523,2460,1943,621
,,North Macedonia,90,78,34,47,76,121,127,170,248,210,181,159,186,244,239,259,385,410,431,188,30,18,22,23,16,37,67,86,92,90,49,27,66,100,59,103,133,110,107,8
,,Northern Mariana Islands,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Norway,11777,11845,10812,8205,6026,5122,4172,3878,3669,3592,3174,2813,2848,2794,2699,2415,2284,2008,1693,582,3893,3721,2784,2121,1490,1366,1328,1154,1101,1084,906,941,904,898,827,615,628,568,373,78
,,Oman,136,188,224,282,359,320,266,296,552,574,782,1045,1109,1210,1360,1388,1224,1202,1229,496,52,68,116,102,155,116,98,152,336,238,242,349,365,370,544,368,288,230,197,112
,,Pakistan,4632,4158,4159,4415,5223,6668,8005,8852,9812,11079,14209,21895,28033,36570,43020,47642,49282,49396,48193,17643,1500,1278,1459,1703,1911,2516,2833,3416,3032,3807,6097,8659,8989,11946,12624,13958,12922,13840,12817,2391
,,Palau,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Panama,10,18,39,68,59,59,36,24,6,12,2,32,36,30,47,24,28,60,62,32,10,6,27,20,11,11,0,0,6,0,2,20,0,18,11,0,16,24,14,8
,,Papua New Guinea,579,430,508,385,296,345,392,380,417,354,433,597,626,526,557,567,545,581,615,192,147,130,160,133,104,129,140,128,141,90,217,201,194,166,173,123,161,173,147,12
,,Paraguay,0,0,0,26,36,34,22,12,12,0,12,0,8,12,40,104,118,139,128,41,0,0,0,26,0,22,10,0,0,0,12,0,8,0,40,44,34,55,44,11
,,Peru,145,243,319,541,697,847,877,1071,943,907,930,1256,1409,1419,1374,1442,1583,1607,1336,514,61,135,199,241,325,367,373,471,259,307,390,512,437,507,390,470,515,311,352,70
,,Philippines,1822,1793,2085,2487,3240,3513,4013,5210,6861,9375,10232,12010,14827,17509,19676,18825,18292,18808,18901,7399,646,713,801,939,1320,1089,1721,2234,2697,3435,3728,4618,5659,5533,6464,4773,4636,5800,5221,1201
,,Poland,801,1475,1578,1361,1162,964,893,844,850,747,764,991,1074,1092,833,786,813,744,699,327,453,683,534,377,310,244,281,280,286,219,236,391,306,168,209,174,201,192,159,51
